Player Name ,Match,Date,Run,4s,6s,Toss,Win/Loss
Srfraz Ahmed,Pak VS SA,"25th January, 2019",6,1,0,Pak,Loss
Srfraz Ahmed,Pak VS ENG,"8th May, 2019",0,0,0,Eng,No result
Srfraz Ahmed,Pak VS ENG,"11th May, 2019",41,2,0,Pak,Loss
Srfraz Ahmed,Pak VS ENG,"14th May, 2019",27,2,0,Eng,Loss
Srfraz Ahmed,Pak VS ENG,"19th May, 2019",97,7,2,Eng,Loss
Srfraz Ahmed,Pak wi,"7th April, 2017",20,2,0,WI,Loss
Srfraz Ahmed,Pak wi,"9th April, 2017",26,3,0,wi,win
Srfraz Ahmed,Pak wi,"11th April, 2017",24,1,0,wi,win
Srfraz Ahmed,Pak vs Ind,"4th June, 2017",15,2,0,Pak,Loss
Srfraz Ahmed,Pak Vs Sa,"7th June, 2017",0,0,0,SA,win
Srfraz Ahmed,Pak VS Sir,"12th June, 2017",61,5,0,Pak,win
Srfraz Ahmed,Pak VS Eng,"14th June, 2017",0,0,0,Pak,win
Srfraz Ahmed,Pak VS Ind,"18th June, 2017",0,0,0,Ind,win
Srfraz Ahmed,Pak vs Sir,"13th October, 2017",1,0,0,Sir,win
Srfraz Ahmed,Pak vs Sir,"16th October, 2017",5,0,0,Pak,win
Srfraz Ahmed,Pak vs Sir,"18th October, 2017",0,0,0,Sir,win
Srfraz Ahmed,Pak vs ENg,"1st September, 2016",12,0,0,Pak,Loss
Srfraz Ahmed,Pak vs ENg,"4th September, 2016",90,10,1,Pak,win
Srfraz Ahmed,Pak vs Wi,"30th September, 2016",35,1,0,WI,win
Srfraz Ahmed,Pak vs Wi,"2nd October, 2016",60,7,0,Pak,win
Srfraz Ahmed,Pak vs Wi,"5th October, 2016",24,1,0,Pak,win
