PlayerName,Date,MatchType(OneDay-T20-Test),OppositionTeam,TossWin,BowlingFirst,BattingFirst,hometeam,LastMatchesPerformance,Last3MatchesPerformance,Last6MatchesPerformance,weather,pitch,Form(InOrOut),Order(BattingBowlingOrder),Performance(IT is label. For Batsman:Runs. For Bowler: Wickets)
Ahmed Shehzad,7-May-09,T-20,aus,Win,PAK,AUS,NIL,NIL,NIL,NIL,CLEAR,GRASSY,NIL,OPENNING,4
Ahmed Shehzad,7-Jun-09,T-20,eng,Win,PAK,AUS,NIL,NOT GOOD,NIL,NIL,MOISTURE,GRASSY,OUT,OPENNING,4
Ahmed Shehzad,26-Dec-10,T-20,nz,Loss,NZ,PAK,NIL,NOT GOOD,NIL,NIL,CLOUDY,DRY,OUT,1 DOWN,14
Ahmed Shehzad,28-Dec-10,T-20,nz,Win,PAK,NZ,NIL,NOT GOOD,NOT GOOD,NIL,MOISTURE,DEAD,OUT,1 DOWN,15
Ahmed Shehzad,30-Dec-10,T-20,nz,Win,NZ,PAK,NIL,NOT GOOD,NOT GOOD,NIL,MOISTURE,DEAD,OUT,OPENNING,54
Ahmed Shehzad,21-Apr-11,T-20,wi,Loss,PAK,WI,WI,GOOD,GOOD,NIL,MOISTURE,DRY,IN,OPENNING,12
Ahmed Shehzad,1-Jun-12,T-20,si,Loss,PAK,SI,SI,NOT GOOD,AVERAGE,NOT GOOD,MOISTURE,GRASSY,IN,OPENNING,36
Ahmed Shehzad,3-Jun-12,T-20,si,Win,SI,PAK,SI,AVERAGE,NOT GOOD,NOT GOOD,MOISTURE,GRASSY,IN,OPENNING,6
Ahmed Shehzad,25-Dec-12,T-20,ind,Win,PAK,IND,IND,NOT GOOD,NOT GOOD,NOT GOOD,MOISTURE,GRASSY,OUT,OPENNING,5
Ahmed Shehzad,28-Dec-12,T-20,ind,Win,PAK,IND,IND,NOT GOOD,NOT GOOD,NOT GOOD,MOISTURE,GRASSY,OUT,OPENNING,31
Ahmed Shehzad,3-Mar-13,T-20,sa,Win,SA,PAK,NIL,AVERAGE,NOT GOOD,NOT GOOD,CLOUDY,DRY,IN,OPENNING,46
Ahmed Shehzad,27-Jul-13,T-20,wi,Loss,PAK,WI,NIL,AVERAGE,AVERAGE,AVERAGE,CLOUDY,DRY,IN,OPENNING,3
Ahmed Shehzad,28-Jul-13,T-20,wi,Win,WI,PAK,NIL,AVERAGE,AVERAGE,AVERAGE,CLEAR,DRY,OUT,OPENNING,44
Ahmed Shehzad,23-Aug-13,T-20,zim,Loss,ZIM,PAK,NIL,AVERAGE,AVERAGE,AVERAGE,CLEAR,DRY,IN,OPENNING,70
Ahmed Shehzad,24-Aug-13,T-20,zim,Loss,ZIM,PAK,NIL,VERY GOOD,AVERAGE,AVERAGE,CLEAR,DRY,IN,OPENNING,98
Ahmed Shehzad,13-Nov-13,T-20,sa,Win,SA,PAK,NIL,VERY GOOD,VERY GOOD,GOOD,CLEAR,DEAD,IN,OPENNING,0
Ahmed Shehzad,15-Nov-13,T-20,sa,Loss,PAK,SA,NIL,POOR,GOOD,AVERAGE,CLEAR,DEAD,OUT,OPENNING,21
Ahmed Shehzad,20-Nov-13,T-20,sa,Win,PAK,SA,SA,AVERAGE,AVERAGE,AVERAGE,MOISTURE,GRASSY,IN,OPENNING,9
Ahmed Shehzad,22-Nov-13,T-20,sa,Win,SA,PAK,NIL,AVERAGE,AVERAGE,AVERAGE,MOISTURE,DEAD,OUT,OPENNING,9
Ahmed Shehzad,8-Dec-13,T-20,afg,Loss,PAK,AFG,NIL,AVERAGE,AVERAGE,AVERAGE,DRY,DEAD,IN,OPENNING,35
Ahmed Shehzad,11-Dec-13,T-20,si,Win,PAK,SI,NIL,AVERAGE,AVERAGE,AVERAGE,DRY,DEAD,OUT,OPENNING,4
Ahmed Shehzad,13-Dec-13,T-20,si,Win,PAK,SI,NIL,AVERAGE,AVERAGE,AVERAGE,DRY,DEAD,OUT,OPENNING,8
Ahmed Shehzad,21-Mar-14,T-20,ind,Loss,IND,PAK,IND,AVERAGE,AVERAGE,AVERAGE,MOISTURE,DRY,OUT,OPENNING,22
Ahmed Shehzad,24-Mar-14,T-20,aus,Loss,AUS,PAK,NIL,AVERAGE,AVERAGE,AVERAGE,MOISTURE,DRY,IN,OPENNING,5
Ahmed Shehzad,30-Mar-14,T-20,ban,Win,BAN,PAK,NIL,AVERAGE,AVERAGE,AVERAGE,MOISTURE,DRY,OUT,OPENNING,111
Ahmed Shehzad,1-Apr-14,T-20,wi,Loss,PAK,WI,NIL,AVERAGE,AVERAGE,AVERAGE,MOISTURE,DRY,IN,OPENNING,8
Ahmed Shehzad,5-Oct-14,T-20,aus,Win,AUS,PAK,NIL,POOR,AVERAGE,AVERAGE,MOISTURE,DRY,OUT,OPENNING,10
Ahmed Shehzad,5-Dec-14,T-20,nz,Win,PAK,NZ,NIL,POOR,AVERAGE,AVERAGE,CLEAR,DRY,OUT,OPENNING,33
Ahmed Shehzad,24-Apr-15,T-20,ban,Win,PAK,NZ,NIL,AVERAGE,POOR,AVERAGE,CLEAR,DRY,OUT,OPENNING,17
Ahmed Shehzad,22-May-15,T-20,zim,Loss,PAK,ZIM,PAK,AVERAGE,AVERAGE,AVERAGE,CLEAR,DRY,IN,OPENNING,55
Ahmed Shehzad,24-May-15,T-20,zim,Loss,PAK,ZIM,PAK,GOOD,AVERAGE,AVERAGE,CLEAR,DRY,OUT,OPENNING,18
Ahmed Shehzad,30-Jul-15,T-20,si,Win,SI,PAK,NIL,AVERAGE,AVERAGE,AVERAGE,MOISTURE,GRASSY,IN,OPENNING,46
Ahmed Shehzad,1-Aug-15,T-20,si,Loss,PAK,SI,NIL,GOOD,GOOD,GOOD,MOISTURE,GRASSY,OUT,OPENNING,7
Ahmed Shehzad,27-Sep-15,T-20,zim,Win,ZIM,PAK,NIL,AVERAGE,GOOD,GOOD,MOISTURE,GRASSY,OUT,OPENNING,17
Ahmed Shehzad,27-Nov-15,T-20,eng,Win,ZIM,PAK,NIL,AVERAGE,AVERAGE,AVERAGE,MOISTURE,GRASSY,IN,OPENNING,28
Ahmed Shehzad,30-Nov-15,T-20,eng,Loss,ENG,PAK,NIL,AVERAGE,AVERAGE,AVERAGE,CLEAR,DRY,OUT,OPENNING,4
Ahmed Shehzad,15-Jan-16,T-20,nz,Loss,PAK,ENG,NIL,NOT GOOD,AVERAGE,AVERAGE,CLEAR,DRY,OUT,OPENNING,16
Ahmed Shehzad,17-Jan-16,T-20,nz,Loss,ENG,PAK,ENG,NOT GOOD,NOT GOOD,AVERAGE,MOISTURE,GRASSY,IN,OPENNING,9
Ahmed Shehzad,22-Jan-16,T-20,nz,Win,PAK,NZ,NZ,NOT GOOD,NOT GOOD,NOT GOOD,MOISTURE,DEAD,OUT,OPENNING,8
Ahmed Shehzad,16-Mar-16,T-20,ban,Win,BAN,PAK,BAN,NOT GOOD,NOT GOOD,NOT GOOD,MOISTURE,DRY,OUT,OPENNING,52
