date ,venue,oponent,player runs,4s,6s,decision
7-May-09,dubai international,aus,4,1,0,win
7-Jun-09,kennington oval,eng,4,0,0,loss
26-Dec-10,eden pak,nz,14,2,1,loss
28-Dec-10,seddon park,nz,15,2,0,loss
30-Dec-10,ami stadium,nz,54,10,0,win
21-Apr-11,dareen sammy national,wi,12,2,0,loss
1-Jun-12,mahinda rajapaksha,si,36,3,1,loss
3-Jun-12,mahinda rajapaksha,si,6,1,0,win
25-Dec-12,m chinnasawarn stadium,ind,5,1,0,win
28-Dec-12,sardar patel stadium,ind,31,3,1,loss
3-Mar-13,supersport park,sa,46,6,2,win
27-Jul-13,arnos vale,wi,3,0,0,win
28-Jul-13,arnos vale,wi,44,4,2,win
23-Aug-13,harare sports club,zim,70,4,1,win
24-Aug-13,harare sports club,zim,98,6,6,win
13-Nov-13,dubai international,sa,0,0,0,loss
15-Nov-13,dubai international,sa,21,3,0,loss
20-Nov-13,wanderers,sa,9,2,0,loss
22-Nov-13,newlands,sa,9,0,1,win
8-Dec-13,sharjah,afg,35,6,0,win
11-Dec-13,dubai international,si,4,0,0,win
13-Dec-13,dubai international,si,8,1,0,loss
21-Mar-14,shere bangla ,ind,22,2,0,loss
24-Mar-14,shere bangla ,aus,5,1,0,win
30-Mar-14,shere bangla ,ban,111,10,5,win
1-Apr-14,shere bangla ,wi,0,0,0,loss
5-Oct-14,dubai international,aus,10,2,0,loss
5-Dec-14,dubai international,nz,33,1,0,loss
24-Apr-15,shere bangla ,ban,17,2,0,loss
22-May-15,gaddafi stadium,zim,55,6,1,win
24-May-15,gaddafi stadium,zim,18,3,0,win
30-Jul-15,r premadasa,si,46,4,0,win
1-Aug-15,r premadasa,si,7,1,0,win
27-Sep-15,harare sports club,zim,17,3,0,win
27-Nov-15,dubai international,eng,28,2,2,loss
30-Nov-15,sharjah,eng,4,1,0,loss
15-Jan-16,eden pak,nz,16,2,1,win
17-Jan-16,seddon park,nz,9,1,0,loss
22-Jan-16,westpac stadium,nz,8,0,0,loss
16-Mar-16,eden pak,ban,52,8,0,win
19-Mar-16,eden pak,ind,25,3,0,loss
22-Mar-16,Punjab cricket assosiaction,nz,30,3,0,loss
25-Mar-16,Punjab cricket assosiaction,aus,1,0,0,loss
26-Mar-17,kennington oval,wi,13,2,0,win
30-Mar-17,queens pak oval,wi,14,1,0,win
1-Apr-17,queens pak oval,wi,4,1,0,loss
2-Apr-17,queens pak oval,wi,53,6,1,win
12-Sep-17,gaddafi stadium,icc world cup,39,4,0,win
13-Sep-17,gaddafi stadium,icc world cup,43,5,1,loss
15-Sep-17,gaddafi stadium,icc world cup,89,8,3,win
26-Oct-17,sheikh zadyad,si,22,1,0,win
27-Oct-17,sheikh zadyad,si,27,2,0,win
25-Jan-18,eden pak,nz,44,6,1,win
