Player Name ,Match,Date,Run,4s,6s,Toss,Win/Loss
Srfraz Ahmed,Pak VS SA,"19th January, 2019",1,0,0,SA,win
Srfraz Ahmed,Pak VS SA,"22nd January, 2019",41,2,0,Sa,Loss
Srfraz Ahmed,Pak VS SA,"25th January, 2019",6,1,0,Pak,Loss
Srfraz Ahmed,Pak VS ENG,"8th May, 2019",0,0,0,Eng,No result
Srfraz Ahmed,Pak VS ENG,"11th May, 2019",41,2,0,Pak,Loss
Srfraz Ahmed,Pak VS ENG,"14th May, 2019",27,2,0,Eng,Loss
Srfraz Ahmed,Pak VS ENG,"19th May, 2019",97,7,2,Eng,Loss
Srfraz Ahmed,Pak vs WI,"31st May, 2019",8,1,0,WI,Loss
Srfraz Ahmed,Pak VS ENG,"3rd June, 2019",55,5,0,Eng,win
Srfraz Ahmed,Pak VS Aus,"12th June, 2019",40,1,0,Pak,Loss
Srfraz Ahmed,Pak VS Ind,"16th June, 2019",12,0,0,Pak,Loss
Srfraz Ahmed,Pak Vs SA,"23rd June, 2019",2,0,0,Pak,win
Srfraz Ahmed,Pak Vs NZ,"26th June, 2019",5,1,0,NZ,win
Srfraz Ahmed,Pak Vs AFG,"29th June, 2019",18,1,0,Afg,win
Srfraz Ahmed,Pak VS Ban,"5th July, 2019",3,0,0,Pak,win
Srfraz Ahmed,Pak VS Sir,"30th September, 2019",8,0,0,Pak,win
Srfraz Ahmed,Pak VS Sir,"2nd October, 2019",23,1,0,Sir,win
Srfraz Ahmed,Pak Vs NZ,"6th January, 2018",8,1,0,Pak,Loss
Srfraz Ahmed,Pak Vs NZ,"8th January, 2018",3,0,0,Pak,Loss
Srfraz Ahmed,Pak vs NZ,"13th January, 2018",14,0,0,NZ,Loss
Srfraz Ahmed,Pak vs NZ,"16th January, 2018",51,3,3,Pak,Loss
Srfraz Ahmed,Pak vs NZ,"18th January, 2018",3,0,0,NZ,Loss
Srfraz Ahmed,Pak vs NZ,"13th July, 2018",13,1,0,NZ,win
Srfraz Ahmed,Pak VS Zim,"16th July, 2018",0,0,0,zim,win
Srfraz Ahmed,Pak VS Zim,"18th July, 2018",0,0,0,zim,win
Srfraz Ahmed,Pak VS Zim,"20th July, 2018",0,0,0,Pak,win
Srfraz Ahmed,Pak VS Zim,"22nd July, 2018",6,0,0,Pak,win
Srfraz Ahmed,Pak Vs HK,"16th September, 2018",0,0,0,HK,win
Srfraz Ahmed,Pak VS Ind,"19th September, 2018",6,0,0,Pak,Loss
Srfraz Ahmed,Pak VS Afg,"21st September, 2018",8,0,0,Afg,win
Srfraz Ahmed,Pak VS Ind,"23rd September, 2018",44,2,0,Pak,Loss
Srfraz Ahmed,Pak Vs Ban,"26th September, 2018",10,2,0,Ban,Loss
Srfraz Ahmed,Pak VS NZ,"7th November, 2018",64,7,0,NZ,win
Srfraz Ahmed,Pak VS NZ,"9th November, 2018",13,1,0,Pak,No result
Srfraz Ahmed,Pak VS NZ,"11th November, 2018",1,0,0,Pak,Nz
Srfraz Ahmed,Pak wi,"7th April, 2017",20,2,0,WI,Loss
Srfraz Ahmed,Pak wi,"9th April, 2017",26,3,0,wi,win
Srfraz Ahmed,Pak wi,"11th April, 2017",24,1,0,wi,win
Srfraz Ahmed,Pak vs Ind,"4th June, 2017",15,2,0,Pak,Loss
Srfraz Ahmed,Pak Vs Sa,"7th June, 2017",0,0,0,SA,win
Srfraz Ahmed,Pak VS Sir,"12th June, 2017",61,5,0,Pak,win
Srfraz Ahmed,Pak VS Eng,"14th June, 2017",0,0,0,Pak,win
Srfraz Ahmed,Pak VS Ind,"18th June, 2017",0,0,0,Ind,win
Srfraz Ahmed,Pak vs Sir,"13th October, 2017",1,0,0,Sir,win
Srfraz Ahmed,Pak vs Sir,"16th October, 2017",5,0,0,Pak,win
Srfraz Ahmed,Pak vs Sir,"18th October, 2017",0,0,0,Sir,win
Srfraz Ahmed,Pak vs Sir,"20th October, 2017",0,0,0,Sir,win
Srfraz Ahmed,Pak vs Sir,"23rd October, 2017",0,0,0,Sir,win
Srfraz Ahmed,Pak vs NZ,"25th January, 2016",30,4,0,Pak,Loss
Srfraz Ahmed,Pak v s nz,"31st January, 2016",41,5,0,Pak,Loss
Srfraz Ahmed,Pak vs IR,"18th August, 2016",2,0,0,IR,win
Srfraz Ahmed,Pak VS ENG,"24th August, 2016",55,3,0,Pak,Loss
Srfraz Ahmed,Pak vs ENg,"27th August, 2016",105,6,0,Pak,Loss
Srfraz Ahmed,Pak vs ENg,"30th August, 2016",38,5,0,Eng,Loss
Srfraz Ahmed,Pak vs ENg,"1st September, 2016",12,0,0,Pak,Loss
Srfraz Ahmed,Pak vs ENg,"4th September, 2016",90,10,1,Pak,win
Srfraz Ahmed,Pak vs Wi,"30th September, 2016",35,1,0,WI,win
Srfraz Ahmed,Pak vs Wi,"2nd October, 2016",60,7,0,Pak,win
Srfraz Ahmed,Pak vs Wi,"5th October, 2016",24,1,0,Pak,win
